state,dtm_idp_ind,dtm_returnees_ind,month,round,acled_events,acled_fatalities,acled_actor1_n,acled_actor2_n,acled_event_types,wfp_avg_price,wfp_avg_usdprice,wfp_market_count,wfp_commodity_count,wb_gdp_growth_annual_pct,wb_inflation_annual_pct,wb_net_oda_pct_gni,wb_oil_rents_pct_gdp,population_2025,ipc_total_number,ipc_phase3plus_number,ipc_phase4_number,ipc_phase5_number,ipc_phase3plus_pct,ipc_phase4_pct,ipc_phase5_pct,from_date,to_date,snapshot_date,flood_affected_people,flood_displaced_people,days_since_flood_snapshot,flood_recent_available,idp_per_1000,returnees_per_1000,wfp_avg_usdprice_interp,wfp_market_count_interp,wfp_commodity_count_interp,flood_affected_people_model,flood_shock_dummy,dtm_idp_ind_lag1,dtm_returnees_ind_lag1,acled_events_lag1,acled_fatalities_lag1,wfp_avg_usdprice_lag1,wfp_market_count_lag1,wfp_commodity_count_lag1,model_variant,usable_for_model,flood_flag,period,acled_events_lag1_z,ipc_phase3plus_pct_z,wfp_avg_usdprice_lag1_z,flood_flag_z,csi_raw,csi_0_100,conflict_high,ipc_high,price_high,lagged_displacement_high,shock_count,regime
Lakes,203088.0,69129.0,2019-03-01,R5,2.0,5.0,2.0,2.0,1.0,2703.6363636363635,17.488636363636363,2.0,13.0,,87.2413641500032,,,1251317.8931699602,1271983.0,778737.0,223783.0,18735.0,0.6122228048645304,0.175932382744109,0.0147289704343532,2019-02-01,2019-04-30,,,,,0,162.29928550411577,55.244954441493434,17.488636363636363,2.0,13.0,0.0,0,161673.0,45817.0,4.0,4.0,17.488636363636363,2.0,13.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.4580515260757905,0.7639087900278952,0.25872415417408756,-0.627415965409547,-0.015708636820838673,43.1,False,True,True,False,2,compound
Lakes,160079.0,97227.0,2019-06-01,R6,3.0,4.0,3.0,2.0,3.0,2454.478260869565,15.609130434782609,2.0,16.0,,87.2413641500032,,,1251317.8931699602,1271983.0,806850.0,253867.0,18735.0,0.6343245153433654,0.1995836422342122,0.0147289704343532,2019-05-01,2019-07-31,,,,,0,127.92832330917308,77.69968009783278,15.609130434782609,2.0,16.0,0.0,0,203088.0,69129.0,2.0,5.0,17.488636363636363,2.0,13.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.653032918932377,0.9088902625449209,0.25872415417408756,-0.627415965409547,-0.0282086169057289,42.62,False,True,True,True,2,compound
Lakes,206455.0,72012.0,2019-11-01,R7,8.0,86.0,3.0,2.0,2.0,1768.3,11.221,2.0,12.0,,87.2413641500032,,,1251317.8931699602,1137753.0,462140.0,99382.0,0.0,0.4061865800397801,0.0873493631746082,0.0,2019-09-01,2019-12-31,,,,,0,164.9900485934778,57.548925331493656,11.221,2.0,12.0,0.0,0,160079.0,97227.0,3.0,4.0,15.609130434782609,2.0,16.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.5555422225040838,-0.5876352588160464,0.07568209119046132,-0.627415965409547,-0.4237278388848039,27.62,False,False,True,False,1,stable
Lakes,187241.0,69322.0,2020-03-01,R8,10.0,70.0,5.0,4.0,2.0,2641.0,16.64777777777778,2.0,25.0,,29.6758435538572,,,1251317.8931699602,1137753.0,655532.0,158294.0,0.0,0.5761637191903691,0.1391286157891915,0.0,2020-02-01,2020-04-30,,,,,0,149.63503760476314,55.39919182677614,16.64777777777778,2.0,25.0,0.0,0,206455.0,72012.0,8.0,86.0,11.221,2.0,12.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.06808874036261746,0.5273705662707877,-0.35167088231875054,-0.627415965409547,-0.12995125545503183,38.76,True,True,True,True,3,compound
Lakes,186568.0,61576.0,2020-12-01,R10,28.0,87.0,14.0,7.0,3.0,12409.991363636364,71.13000000000001,1.0,22.0,,29.6758435538572,,,1251317.8931699602,1180247.0,499000.0,113000.0,0.0,0.4227928560716528,0.0957426708138211,0.0,2020-12-01,2021-03-31,,,,,0,149.09720464986543,49.208918322113725,71.13000000000001,1.0,22.0,0.0,0,186983.0,72911.0,9.0,27.0,59.08909090909091,1.0,21.0,wfp_only_predictor_interpolation,1,0,pre_war,0.029401956065675815,-0.4787024070157002,4.310125591199865,-0.627415965409547,0.8083522937100734,74.34,True,False,True,True,2,compound
Lakes,169678.0,,2023-04-01,R14,15.0,101.0,9.0,4.0,3.0,5099.102926829269,6.081707317073171,2.0,27.0,,2.38280434813754,,,1251317.8931699602,1212052.0,750179.0,245872.0,0.0,0.6189330160752179,0.2028559830766337,0.0,2023-04-01,2023-07-31,2022-11-30,93193.0,,122.0,1,135.59943554403682,,6.081707317073171,2.0,27.0,93193.0,1,175222.0,89251.0,36.0,8.0,16.11148148148148,2.0,34.0,wfp_only_predictor_interpolation,1,1,post_war,2.661650759629594,0.8079260303748517,0.12460525260119618,1.5685399135238678,1.2906804890323775,92.63,True,True,True,False,4,compound
Lakes,115760.0,,2024-09-01,R15,10.0,18.0,7.0,8.0,3.0,15461.55277777778,5.073333333333333,1.0,18.0,,91.4408220769046,,,1251317.8931699602,1248413.0,567000.0,144000.0,0.0,0.4541766226401039,0.1153464438451057,0.0,2024-09-01,2024-11-30,2022-11-30,93193.0,,641.0,1,92.5104648721561,,5.073333333333333,1.0,18.0,93193.0,1,169678.0,,15.0,101.0,6.081707317073171,2.0,27.0,wfp_only_predictor_interpolation,1,1,post_war,0.6143461346354354,-0.27283306063267426,-0.8521783404321103,1.5685399135238678,0.26446866177362965,53.72,True,False,False,False,2,compound
Northern Bahr el Ghazal,76387.0,128903.0,2020-03-01,R8,,,,,,4045.057692307693,25.49923076923077,1.0,24.0,,29.6758435538572,,,1035433.9499753125,946905.0,570206.0,142205.0,0.0,0.6021786768472022,0.1501787402115312,0.0,2020-02-01,2020-04-30,,,,,0,73.77293356261042,124.4917650257396,25.49923076923077,1.0,24.0,0.0,0,127035.0,118150.0,1.0,1.0,10.671,1.0,10.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.7505236153606704,0.6980219225161588,-0.40523449874340933,-0.627415965409547,-0.27128803924936695,33.4,False,True,False,False,1,stable
Northern Bahr el Ghazal,41516.0,141873.0,2020-12-01,R10,2.0,0.0,2.0,1.0,2.0,2784.3857575757575,15.959090909090907,1.0,31.0,,29.6758435538572,,,1035433.9499753125,912347.0,551000.0,179000.0,0.0,0.6039368792794847,0.1961972802015023,0.0,2020-12-01,2021-03-31,,,,,0,40.0952663383211,137.01791408653605,15.959090909090907,1.0,31.0,0.0,0,64893.0,136566.0,1.0,2.0,28.3396,1.0,24.0,wfp_only_predictor_interpolation,1,0,pre_war,-0.7505236153606704,0.7095552731977469,1.3154820706397272,-0.627415965409547,0.1617744407668142,49.83,False,True,True,False,2,compound
Northern Bahr el Ghazal,32023.0,,2023-04-01,R14,3.0,9.0,2.0,2.0,3.0,5645.101472868217,6.731937984496124,5.0,35.0,,2.38280434813754,,,1035433.9499753125,936932.0,655802.0,277225.0,0.0,0.6999462074088622,0.2958859340912681,0.0,2023-04-01,2023-07-31,2022-11-30,251763.0,,122.0,1,30.927129635611735,,6.731937984496124,5.0,35.0,251763.0,1,50709.0,97944.0,1.0,0.0,15.23070707070707,4.0,35.0,wfp_only_predictor_interpolation,1,1,post_war,-0.7505236153606704,1.3393514955714434,0.03882804770051376,1.5685399135238678,0.5490489603587887,64.51,False,True,True,False,3,compound
Northern Bahr el Ghazal,35465.0,,2024-09-01,R15,,,,,,15012.28642857143,4.925,5.0,25.0,,91.4408220769046,,,1035433.9499753125,965039.0,494000.0,191000.0,0.0,0.5118964104041391,0.1979194623222481,0.0,2024-09-01,2024-11-30,2022-11-30,251763.0,,641.0,1,34.25133974102895,,4.925,5.0,25.0,251763.0,1,32023.0,,3.0,9.0,6.731937984496124,5.0,35.0,wfp_only_predictor_interpolation,1,1,post_war,-0.5555422225040838,0.10579373530756116,-0.7888534203277596,1.5685399135238678,0.08248450149989639,46.82,False,False,False,False,1,stable
Unity,217031.0,110161.0,2019-03-01,R5,5.0,10.0,2.0,4.0,2.0,1575.3308333333334,10.19,2.0,16.0,,87.2413641500032,,,1212629.3677277465,886296.0,628637.0,138152.0,4780.0,0.7092856111276594,0.1558756893859388,0.0053932320579129,2019-02-01,2019-04-30,,,,,0,178.97554337371676,90.84474030710828,10.19,2.0,16.0,0.0,0,201385.0,82508.0,18.0,0.0,10.19,2.0,16.0,wfp_only_predictor_interpolation,1,0,pre_war,0.9068182239203152,1.4006155549698716,-0.45207831601661086,-0.627415965409547,0.3069848743660072,55.33,True,True,False,True,2,compound
